record_id,student_id,class,section,subject,exam_type,academic_year,max_marks,marks_obtained,percentage,grade,teacher_id,remarks
REC0000001,STU00001,5,A,English,Unit Test 1,2025-26,50,17,34.0,D,TCH0071,Retest required
REC0000002,STU00001,5,A,Hindi,Unit Test 1,2025-26,50,23,46.0,D,TCH0074,Retest required
REC0000003,STU00001,5,A,Mathematics,Unit Test 1,2025-26,50,21,42.0,D,TCH0008,Excellent
REC0000004,STU00001,5,A,Science,Unit Test 1,2025-26,50,21,42.0,D,TCH0018,Needs improvement
REC0000005,STU00001,5,A,Social Studies,Unit Test 1,2025-26,50,17,34.0,D,TCH0022,Retest required
REC0000006,STU00001,5,A,Computer Science,Unit Test 1,2025-26,50,16,32.0,F,TCH0040,Good
REC0000007,STU00001,5,A,Physical Education,Unit Test 1,2025-26,50,28,56.0,C,TCH0074,Retest required
REC0000008,STU00001,5,A,English,Unit Test 4,2025-26,50,23,46.0,D,TCH0065,Excellent
REC0000009,STU00001,5,A,Hindi,Unit Test 4,2025-26,50,27,54.0,C,TCH0026,
REC0000010,STU00001,5,A,Mathematics,Unit Test 4,2025-26,50,14,28.0,F,TCH0067,Needs improvement
REC0000011,STU00001,5,A,Science,Unit Test 4,2025-26,50,19,38.0,D,TCH0070,Absent for exam
REC0000012,STU00001,5,A,Social Studies,Unit Test 4,2025-26,50,19,38.0,D,TCH0072,Needs improvement
REC0000013,STU00001,5,A,Computer Science,Unit Test 4,2025-26,50,17,34.0,D,TCH0056,Needs improvement
REC0000014,STU00001,5,A,Physical Education,Unit Test 4,2025-26,50,22,44.0,D,TCH0042,Needs improvement
REC0000015,STU00002,3,A,English,Unit Test 4,2025-26,50,35,70.0,B+,TCH0019,Average
REC0000016,STU00002,3,A,Hindi,Unit Test 4,2025-26,50,39,78.0,B+,TCH0027,Retest required
REC0000017,STU00002,3,A,Mathematics,Unit Test 4,2025-26,50,35,70.0,B+,TCH0055,Absent for exam
REC0000018,STU00002,3,A,Science,Unit Test 4,2025-26,50,44,88.0,A,TCH0017,
REC0000019,STU00002,3,A,Social Studies,Unit Test 4,2025-26,50,38,76.0,B+,TCH0049,Absent for exam
REC0000020,STU00002,3,A,Computer Science,Unit Test 4,2025-26,50,45,90.0,A+,TCH0013,Retest required
REC0000021,STU00002,3,A,Physical Education,Unit Test 4,2025-26,50,29,58.0,C,TCH0022,Good
REC0000022,STU00002,3,A,English,Unit Test 3,2025-26,50,32,64.0,B,TCH0012,Good
REC0000023,STU00002,3,A,Hindi,Unit Test 3,2025-26,50,45,90.0,A+,TCH0074,Retest required
REC0000024,STU00002,3,A,Mathematics,Unit Test 3,2025-26,50,38,76.0,B+,TCH0020,Needs improvement
REC0000025,STU00002,3,A,Science,Unit Test 3,2025-26,50,39,78.0,B+,TCH0007,Excellent
REC0000026,STU00002,3,A,Social Studies,Unit Test 3,2025-26,50,40,80.0,A,TCH0039,
REC0000027,STU00002,3,A,Computer Science,Unit Test 3,2025-26,50,43,86.0,A,TCH0034,Average
REC0000028,STU00002,3,A,Physical Education,Unit Test 3,2025-26,50,36,72.0,B+,TCH0039,Average
REC0000029,STU00003,11,C,Physics,Final Exam,2025-26,100,76,76.0,B+,TCH0075,Needs improvement
REC0000030,STU00003,11,C,Chemistry,Final Exam,2025-26,100,81,81.0,A,TCH0033,Excellent
REC0000031,STU00003,11,C,Biology,Final Exam,2025-26,100,81,81.0,A,TCH0021,Retest required
REC0000032,STU00003,11,C,Mathematics,Final Exam,2025-26,100,77,77.0,B+,TCH0075,Absent for exam
REC0000033,STU00003,11,C,Computer Science,Final Exam,2025-26,100,91,91.0,A+,TCH0076,Excellent
REC0000034,STU00003,11,C,Physics,Unit Test 4,2025-26,50,36,72.0,B+,TCH0073,Average
REC0000035,STU00003,11,C,Chemistry,Unit Test 4,2025-26,50,37,74.0,B+,TCH0071,Good
REC0000036,STU00003,11,C,Biology,Unit Test 4,2025-26,50,42,84.0,A,TCH0009,Excellent
REC0000037,STU00003,11,C,Mathematics,Unit Test 4,2025-26,50,43,86.0,A,TCH0037,Retest required
REC0000038,STU00003,11,C,Computer Science,Unit Test 4,2025-26,50,31,62.0,B,TCH0052,Retest required
REC0000039,STU00004,12,C,Physics,Unit Test 2,2025-26,50,25,50.0,C,TCH0071,Excellent
REC0000040,STU00004,12,C,Chemistry,Unit Test 2,2025-26,50,27,54.0,C,TCH0046,Excellent
REC0000041,STU00004,12,C,Biology,Unit Test 2,2025-26,50,27,54.0,C,TCH0004,Needs improvement
REC0000042,STU00004,12,C,Mathematics,Unit Test 2,2025-26,50,31,62.0,B,TCH0058,Good
REC0000043,STU00004,12,C,Computer Science,Unit Test 2,2025-26,50,31,62.0,B,TCH0018,Absent for exam
REC0000044,STU00004,12,C,Physics,Mid Term,2025-26,100,64,64.0,B,TCH0056,Absent for exam
REC0000045,STU00004,12,C,Chemistry,Mid Term,2025-26,100,68,68.0,B,TCH0058,Excellent
REC0000046,STU00004,12,C,Biology,Mid Term,2025-26,100,51,51.0,C,TCH0023,Excellent
REC0000047,STU00004,12,C,Mathematics,Mid Term,2025-26,100,45,45.0,D,TCH0007,
REC0000048,STU00004,12,C,Computer Science,Mid Term,2025-26,100,63,63.0,B,TCH0007,Good
REC0000049,STU00005,10,D,English,Unit Test 1,2025-26,50,5,10.0,F,TCH0007,Retest required
REC0000050,STU00005,10,D,Hindi,Unit Test 1,2025-26,50,9,18.0,F,TCH0022,Needs improvement
REC0000051,STU00005,10,D,Mathematics,Unit Test 1,2025-26,50,12,24.0,F,TCH0002,Good
REC0000052,STU00005,10,D,Science,Unit Test 1,2025-26,50,11,22.0,F,TCH0020,Absent for exam
REC0000053,STU00005,10,D,Social Studies,Unit Test 1,2025-26,50,5,10.0,F,TCH0031,Good
REC0000054,STU00005,10,D,Computer Science,Unit Test 1,2025-26,50,12,24.0,F,TCH0052,Excellent
REC0000055,STU00005,10,D,Physical Education,Unit Test 1,2025-26,50,8,16.0,F,TCH0028,Retest required
REC0000056,STU00005,10,D,English,Unit Test 2,2025-26,50,20,40.0,D,TCH0050,Excellent
REC0000057,STU00005,10,D,Hindi,Unit Test 2,2025-26,50,16,32.0,F,TCH0042,Average
REC0000058,STU00005,10,D,Mathematics,Unit Test 2,2025-26,50,18,36.0,D,TCH0012,Absent for exam
REC0000059,STU00005,10,D,Science,Unit Test 2,2025-26,50,9,18.0,F,TCH0058,Retest required
REC0000060,STU00005,10,D,Social Studies,Unit Test 2,2025-26,50,7,14.0,F,TCH0018,Excellent
REC0000061,STU00005,10,D,Computer Science,Unit Test 2,2025-26,50,5,10.0,F,TCH0058,
REC0000062,STU00005,10,D,Physical Education,Unit Test 2,2025-26,50,13,26.0,F,TCH0015,Excellent
REC0000063,STU00006,9,A,English,Unit Test 1,2025-26,50,20,40.0,D,TCH0018,Needs improvement
REC0000064,STU00006,9,A,Hindi,Unit Test 1,2025-26,50,30,60.0,B,TCH0041,Needs improvement
REC0000065,STU00006,9,A,Mathematics,Unit Test 1,2025-26,50,32,64.0,B,TCH0031,Needs improvement
REC0000066,STU00006,9,A,Science,Unit Test 1,2025-26,50,33,66.0,B,TCH0034,
REC0000067,STU00006,9,A,Social Studies,Unit Test 1,2025-26,50,31,62.0,B,TCH0028,
REC0000068,STU00006,9,A,Computer Science,Unit Test 1,2025-26,50,30,60.0,B,TCH0040,Good
REC0000069,STU00006,9,A,Physical Education,Unit Test 1,2025-26,50,36,72.0,B+,TCH0030,Retest required
REC0000070,STU00006,9,A,English,Mid Term,2025-26,100,73,73.0,B+,TCH0018,Good
REC0000071,STU00006,9,A,Hindi,Mid Term,2025-26,100,53,53.0,C,TCH0030,Absent for exam
REC0000072,STU00006,9,A,Mathematics,Mid Term,2025-26,100,76,76.0,B+,TCH0068,Good
REC0000073,STU00006,9,A,Science,Mid Term,2025-26,100,81,81.0,A,TCH0068,
REC0000074,STU00006,9,A,Social Studies,Mid Term,2025-26,100,53,53.0,C,TCH0056,
REC0000075,STU00006,9,A,Computer Science,Mid Term,2025-26,100,43,43.0,D,TCH0078,Average
REC0000076,STU00006,9,A,Physical Education,Mid Term,2025-26,100,51,51.0,C,TCH0032,Retest required
REC0000077,STU00007,7,C,English,Unit Test 1,2025-26,50,32,64.0,B,TCH0065,
REC0000078,STU00007,7,C,Hindi,Unit Test 1,2025-26,50,29,58.0,C,TCH0017,Needs improvement
REC0000079,STU00007,7,C,Mathematics,Unit Test 1,2025-26,50,33,66.0,B,TCH0044,Needs improvement
REC0000080,STU00007,7,C,Science,Unit Test 1,2025-26,50,32,64.0,B,TCH0011,Good
REC0000081,STU00007,7,C,Social Studies,Unit Test 1,2025-26,50,34,68.0,B,TCH0010,Average
REC0000082,STU00007,7,C,Computer Science,Unit Test 1,2025-26,50,29,58.0,C,TCH0078,Average
REC0000083,STU00007,7,C,Physical Education,Unit Test 1,2025-26,50,30,60.0,B,TCH0064,Needs improvement
REC0000084,STU00007,7,C,English,Mid Term,2025-26,100,66,66.0,B,TCH0043,Retest required
REC0000085,STU00007,7,C,Hindi,Mid Term,2025-26,100,64,64.0,B,TCH0032,Needs improvement
