attendance_id,student_id,date,day_of_week,class,section,status,entry_time,exit_time,capture_method,rfid_tag,is_anomaly
ATT0000001,STU00001,2025-07-01,Tuesday,5,A,Present,07:29,15:51,RFID,F10FFA7287C0,0
ATT0000002,STU00002,2025-07-01,Tuesday,3,A,Present,07:38,14:08,RFID,53C98BEB4DC4,0
ATT0000003,STU00003,2025-07-01,Tuesday,11,C,Present,07:40,14:35,Biometric,,0
ATT0000004,STU00004,2025-07-01,Tuesday,12,C,Absent,,,,,0
ATT0000005,STU00005,2025-07-01,Tuesday,10,D,Late,08:23,15:08,RFID,FBC81083AEEE,0
ATT0000006,STU00006,2025-07-01,Tuesday,9,A,Present,07:14,13:57,Face Recognition,,0
ATT0000007,STU00007,2025-07-01,Tuesday,7,C,Present,07:30,14:59,RFID,102A8FB2DD33,0
ATT0000008,STU00008,2025-07-01,Tuesday,7,B,Present,07:18,14:36,Biometric,,0
ATT0000009,STU00009,2025-07-01,Tuesday,9,A,Present,07:43,15:04,RFID,D4F6CE5206AD,0
ATT0000010,STU00010,2025-07-01,Tuesday,10,D,Present,07:29,14:11,Biometric,,0
ATT0000011,STU00011,2025-07-01,Tuesday,2,A,Present,07:35,13:27,RFID,8E33D66C73B9,1
ATT0000012,STU00012,2025-07-01,Tuesday,9,B,Present,07:45,14:00,RFID,1A338DE37D7E,0
ATT0000013,STU00013,2025-07-01,Tuesday,6,B,Present,07:12,14:19,RFID,A2CBC2EE16F0,0
ATT0000014,STU00014,2025-07-01,Tuesday,12,B,Present,07:11,13:46,Biometric,,0
ATT0000015,STU00015,2025-07-01,Tuesday,10,C,Present,07:15,14:23,RFID,0682DF183F84,0
ATT0000016,STU00016,2025-07-01,Tuesday,9,C,Absent,,,,,0
ATT0000017,STU00017,2025-07-01,Tuesday,12,B,Present,07:41,15:55,Biometric,,0
ATT0000018,STU00018,2025-07-01,Tuesday,3,C,Present,07:27,13:55,RFID,5CD4A6BEA70C,0
ATT0000019,STU00019,2025-07-01,Tuesday,5,B,Present,07:11,14:10,RFID,66BF033A9B9A,0
ATT0000020,STU00020,2025-07-01,Tuesday,8,A,Present,07:38,13:52,RFID,C0953AE8B213,0
ATT0000021,STU00021,2025-07-01,Tuesday,7,C,Late,08:17,14:18,Biometric,,0
ATT0000022,STU00022,2025-07-01,Tuesday,5,B,Medical Leave,,,,,0
ATT0000023,STU00023,2025-07-01,Tuesday,7,C,Present,07:33,14:09,Face Recognition,,0
ATT0000024,STU00024,2025-07-01,Tuesday,4,B,Present,07:23,15:41,RFID,9E4836F81B14,0
ATT0000025,STU00025,2025-07-01,Tuesday,2,B,Present,07:15,14:28,Face Recognition,,0
ATT0000026,STU00026,2025-07-01,Tuesday,5,C,Present,07:18,13:17,Biometric,,0
ATT0000027,STU00027,2025-07-01,Tuesday,1,B,Present,07:42,15:40,RFID,2D8CB949373D,0
ATT0000028,STU00028,2025-07-01,Tuesday,2,A,Present,07:12,15:27,RFID,27689090EAF9,0
ATT0000029,STU00029,2025-07-01,Tuesday,9,B,Authorized Leave,,,,,0
ATT0000030,STU00030,2025-07-01,Tuesday,10,A,Present,07:11,14:04,Biometric,,0
ATT0000031,STU00031,2025-07-01,Tuesday,1,B,Present,07:45,15:46,RFID,3666D2B9B7DC,0
ATT0000032,STU00032,2025-07-01,Tuesday,5,C,Present,07:19,14:53,RFID,EE546682F955,0
ATT0000033,STU00033,2025-07-01,Tuesday,7,C,Present,07:22,15:21,Biometric,,0
ATT0000034,STU00034,2025-07-01,Tuesday,11,B,Present,07:16,15:58,RFID,B292CB020F2F,0
ATT0000035,STU00035,2025-07-01,Tuesday,10,A,Late,08:26,13:51,Biometric,,0
ATT0000036,STU00037,2025-07-01,Tuesday,7,C,Present,07:28,13:57,Biometric,,0
ATT0000037,STU00039,2025-07-01,Tuesday,4,C,Absent,,,,,0
ATT0000038,STU00040,2025-07-01,Tuesday,1,A,Present,07:29,14:35,Face Recognition,,0
ATT0000039,STU00041,2025-07-01,Tuesday,6,A,Present,07:36,13:22,Biometric,,0
ATT0000040,STU00042,2025-07-01,Tuesday,5,A,Present,07:44,13:11,RFID,556C900D7339,0
ATT0000041,STU00044,2025-07-01,Tuesday,9,B,Present,07:40,13:48,Face Recognition,,0
ATT0000042,STU00045,2025-07-01,Tuesday,7,C,Present,07:39,14:19,RFID,1CDD4CE6A7CE,0
ATT0000043,STU00046,2025-07-01,Tuesday,12,C,Present,07:31,15:57,RFID,97CEFE180866,0
ATT0000044,STU00047,2025-07-01,Tuesday,3,C,Present,07:34,13:21,Face Recognition,,0
ATT0000045,STU00048,2025-07-01,Tuesday,6,A,Present,07:29,15:55,Biometric,,0
ATT0000046,STU00050,2025-07-01,Tuesday,11,A,Present,07:20,15:03,Biometric,,0
ATT0000047,STU00051,2025-07-01,Tuesday,9,D,Present,07:44,15:18,RFID,BCBAC5DA88A2,0
ATT0000048,STU00052,2025-07-01,Tuesday,6,A,Present,07:36,15:01,Biometric,,0
ATT0000049,STU00053,2025-07-01,Tuesday,7,C,Present,07:10,14:44,RFID,17CE44D48D51,0
ATT0000050,STU00054,2025-07-01,Tuesday,1,B,Present,07:36,13:25,RFID,895E2771C38A,0
ATT0000051,STU00055,2025-07-01,Tuesday,11,D,Present,07:18,14:38,RFID,1EEC369460E9,0
ATT0000052,STU00056,2025-07-01,Tuesday,12,C,Present,07:36,13:03,Biometric,,0
ATT0000053,STU00057,2025-07-01,Tuesday,8,A,Present,07:27,15:03,Face Recognition,,0
ATT0000054,STU00058,2025-07-01,Tuesday,4,C,Present,07:19,13:45,RFID,C93E6A34C4BF,0
ATT0000055,STU00060,2025-07-01,Tuesday,6,A,Present,07:21,13:16,RFID,6ED71B4D1626,0
ATT0000056,STU00061,2025-07-01,Tuesday,11,D,Present,07:36,13:56,RFID,31B75B5A0420,0
ATT0000057,STU00062,2025-07-01,Tuesday,5,C,Present,07:27,15:51,RFID,28A8BFC14CC3,0
ATT0000058,STU00064,2025-07-01,Tuesday,9,A,Present,07:27,14:10,RFID,4D3BF5C057BB,0
ATT0000059,STU00065,2025-07-01,Tuesday,1,A,Present,07:25,15:48,RFID,D2B7348FF8C5,0
ATT0000060,STU00066,2025-07-01,Tuesday,6,C,Present,07:36,14:50,RFID,A725045764D8,0
ATT0000061,STU00067,2025-07-01,Tuesday,8,A,Authorized Leave,,,,,0
ATT0000062,STU00068,2025-07-01,Tuesday,5,A,Present,07:11,13:27,Biometric,,0
ATT0000063,STU00069,2025-07-01,Tuesday,3,B,Present,07:29,13:25,RFID,9ABEA69A2ED1,0
ATT0000064,STU00070,2025-07-01,Tuesday,10,B,Present,07:22,15:01,Biometric,,0
ATT0000065,STU00071,2025-07-01,Tuesday,9,C,Present,07:13,14:26,RFID,DC32CB2A5B67,0
ATT0000066,STU00072,2025-07-01,Tuesday,10,D,Absent,,,,,0
ATT0000067,STU00073,2025-07-01,Tuesday,7,C,Present,07:42,15:45,RFID,8CC260106573,0
ATT0000068,STU00074,2025-07-01,Tuesday,1,B,Present,07:13,14:11,Biometric,,1
