reading_id,room_id,date,time,temperature_c,humidity_pct,occupancy_count,max_capacity,utilization_pct,ac_status,light_status,projector_status,air_quality_index
SNS0000001,Room-G01,2025-07-01,07:00,29.8,40.5,5,60,8.3,OFF,ON,OFF,106
SNS0000002,Room-G01,2025-07-01,08:00,21.9,74.2,26,60,43.3,ON,ON,OFF,50
SNS0000003,Room-G01,2025-07-01,09:00,26.8,47.1,9,60,15.0,OFF,ON,OFF,46
SNS0000004,Room-G01,2025-07-01,10:00,36.0,59.2,10,60,16.7,OFF,ON,OFF,30
SNS0000005,Room-G01,2025-07-01,11:00,25.5,65.3,25,60,41.7,ON,ON,OFF,128
SNS0000006,Room-G01,2025-07-01,12:00,37.4,60.8,9,60,15.0,OFF,ON,OFF,76
SNS0000007,Room-G01,2025-07-01,13:00,24.4,45.6,6,60,10.0,OFF,ON,OFF,67
SNS0000008,Room-G01,2025-07-01,14:00,28.6,46.4,12,60,20.0,OFF,ON,OFF,162
SNS0000009,Room-G01,2025-07-01,15:00,23.0,48.8,0,60,0.0,OFF,OFF,OFF,84
SNS0000010,Room-G02,2025-07-01,07:00,28.4,66.6,7,60,11.7,OFF,ON,OFF,166
SNS0000011,Room-G02,2025-07-01,08:00,30.0,64.0,31,60,51.7,ON,ON,OFF,115
SNS0000012,Room-G02,2025-07-01,09:00,28.2,36.5,25,60,41.7,ON,ON,OFF,87
SNS0000013,Room-G02,2025-07-01,10:00,23.4,35.3,34,60,56.7,ON,ON,OFF,100
SNS0000014,Room-G02,2025-07-01,11:00,30.2,69.5,35,60,58.3,ON,ON,ON,72
SNS0000015,Room-G02,2025-07-01,12:00,34.0,41.6,54,60,90.0,ON,ON,ON,119
SNS0000016,Room-G02,2025-07-01,13:00,31.7,47.6,22,60,36.7,ON,ON,OFF,121
SNS0000017,Room-G02,2025-07-01,14:00,30.2,56.9,37,60,61.7,ON,ON,ON,63
SNS0000018,Room-G02,2025-07-01,15:00,23.8,71.8,8,60,13.3,OFF,ON,OFF,94
SNS0000019,Room-G03,2025-07-01,07:00,24.6,35.4,3,60,5.0,OFF,ON,OFF,32
SNS0000020,Room-G03,2025-07-01,08:00,25.3,52.8,21,60,35.0,ON,ON,ON,54
SNS0000021,Room-G03,2025-07-01,09:00,28.3,39.0,21,60,35.0,ON,ON,OFF,150
SNS0000022,Room-G03,2025-07-01,10:00,35.8,51.7,55,60,91.7,ON,ON,ON,105
SNS0000023,Room-G03,2025-07-01,11:00,35.8,45.6,36,60,60.0,ON,ON,OFF,151
SNS0000024,Room-G03,2025-07-01,12:00,37.7,58.3,31,60,51.7,ON,ON,ON,174
SNS0000025,Room-G03,2025-07-01,13:00,36.1,50.4,16,60,26.7,OFF,ON,ON,119
SNS0000026,Room-G03,2025-07-01,14:00,30.0,38.9,3,60,5.0,OFF,ON,OFF,159
SNS0000027,Room-G03,2025-07-01,15:00,23.3,43.2,7,60,11.7,OFF,ON,OFF,122
